City,Closeness Centrality,Betweenness Centrality,Weighted Betweenness Centrality,Degree Centrality
Leiden,0.017860686644175432,0.3006535947712418,0.009232605058130477,0.2222222222222222
Rotterdam,0.015600624024960999,0.2679738562091503,0.042423461056587515,0.2222222222222222
Schiphol,0.015781167806417678,0.26143790849673204,6.16706909953164e-08,0.16666666666666666
Den Haag,0.016672841793256763,0.22222222222222224,0.029654095831730263,0.16666666666666666
Utrecht,0.015836705965159247,0.20915032679738563,0.01847214806899793,0.2777777777777778
Amsterdam,0.014567821301392038,0.19607843137254902,0.043243195590133635,0.2777777777777778
Delft,0.015669887699138157,0.19607843137254902,0.005068081968322353,0.1111111111111111
Woerden,0.016709988860007425,0.18300653594771243,0.0022982138035623615,0.16666666666666666
Gouda,0.01722488038277512,0.1568627450980392,0.0028034139371268937,0.16666666666666666
Hilversum,0.013626040878122634,0.08496732026143791,0.0018925779170752177,0.2222222222222222
Vlaardingen,0.013315579227696404,0.0784313725490196,0.0014148243245381508,0.1111111111111111
Zoetermeer,0.01712817584927205,0.06535947712418301,0.0019799992050956285,0.16666666666666666
Alphen aan de Rijn,0.015105740181268883,0.032679738562091505,0.0008862695002936921,0.1111111111111111
Dordrecht,0.01315597134921795,0.026143790849673203,0.0007529312992927184,0.16666666666666666
Zaandam,0.011624903125807285,0.0,0.0,0.05555555555555555
Haarlem,0.011951397649558462,0.0,0.0,0.05555555555555555
Spijkenisse,0.01157556270096463,0.0,0.0,0.1111111111111111
Almere,0.01095290251916758,0.0,0.0,0.1111111111111111
Amersfoort,0.011733263802881169,0.0,0.0,0.1111111111111111
